Draw Date,Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Bonus,Ball Set,Machine,DrawNumber
2016-12-24,16,19,29,46,54,58,12,8,Merlin,2192
2016-12-28,5,40,47,48,52,54,33,5,Merlin,2193
2016-12-31,10,17,35,41,51,54,25,7,Merlin,2194
2017-01-04,10,29,37,42,48,49,32,5,Merlin,2195
2017-01-07,8,16,33,36,45,51,38,8,Lancelot,2196
2017-01-11,21,26,29,35,46,59,10,6,Merlin,2197
2017-01-14,14,19,21,36,53,54,33,8,Merlin,2198
2017-01-18,8,14,20,27,28,53,45,7,Merlin,2199
2017-01-21,4,13,37,40,52,58,51,5,Merlin,2200
2017-01-25,4,9,20,23,37,53,39,8,Lancelot,2201
2017-01-28,5,21,23,34,43,45,20,6,Lancelot,2202
2017-02-01,6,8,15,31,45,58,39,7,Merlin,2203
2017-02-04,6,9,27,30,40,50,22,5,Merlin,2204
2017-02-08,7,23,41,44,49,54,37,6,Arthur,2205
2017-02-11,15,18,23,42,43,52,28,2,Arthur,2206
2017-02-15,17,23,28,38,47,56,31,4,Arthur,2207
2017-02-18,11,13,21,37,49,59,4,3,Merlin,2208
2017-02-22,1,16,28,31,38,54,5,1,Arthur,2209
2017-02-25,18,24,34,38,41,49,26,4,Merlin,2210
2017-03-01,2,7,21,22,47,53,42,2,Arthur,2211
2017-03-04,24,38,39,40,49,56,21,1,Merlin,2212
2017-03-08,11,19,22,42,43,49,48,4,Arthur,2213
2017-03-11,6,15,23,29,55,57,46,2,Arthur,2214
2017-03-15,6,24,27,38,39,58,55,3,Merlin,2215
2017-03-18,3,8,19,26,37,41,43,3,Merlin,2216
2017-03-22,6,11,12,19,27,31,42,1,Merlin,2217
2017-03-25,39,48,52,53,54,58,28,3,Arthur,2218
2017-03-29,5,6,16,32,42,51,39,2,Merlin,2219
2017-04-01,1,2,11,23,25,54,14,4,Arthur,2220
2017-04-05,10,16,18,32,42,45,30,1,Merlin,2221
2017-04-08,14,23,36,45,47,50,21,3,Arthur,2222
2017-04-12,3,16,34,42,49,52,50,4,Arthur,2223
2017-04-15,8,10,16,19,23,31,48,1,Arthur,2224
2017-04-19,4,27,47,54,55,59,45,2,Merlin,2225
2017-04-22,4,6,34,37,42,52,24,3,Merlin,2226
2017-04-26,12,15,30,43,47,59,41,4,Merlin,2227
2017-04-29,24,29,30,36,46,48,7,1,Merlin,2228
2017-05-03,13,22,24,34,41,57,40,3,Arthur,2229
2017-05-06,5,34,36,38,39,48,30,2,Merlin,2230
2017-05-10,7,12,17,35,37,58,25,4,Merlin,2231
2017-05-13,7,14,15,21,23,57,52,2,Arthur,2232
2017-05-17,3,19,20,24,30,38,41,2,Merlin,2233
2017-05-20,7,8,13,29,43,53,16,1,Merlin,2234
2017-05-24,3,30,44,45,55,59,37,1,Arthur,2235
2017-05-27,20,22,31,39,41,54,33,4,Arthur,2236
2017-05-31,18,23,28,52,56,59,36,3,Arthur,2237
2017-06-03,12,19,21,38,47,51,48,2,Merlin,2238
2017-06-07,6,8,12,36,37,41,50,1,Arthur,2239
2017-06-10,10,18,28,35,36,50,2,4,Arthur,2240
2017-06-14,2,4,14,23,34,46,45,3,Merlin,2241
2017-06-17,1,11,16,20,24,44,42,2,Arthur,2242
2017-06-21,1,3,5,11,15,43,48,1,Merlin,2243
2017-06-24,4,16,26,39,42,54,24,4,Merlin,2244
2017-06-28,2,10,21,23,54,56,44,5,Merlin,2245
2017-07-01,2,19,36,52,54,59,6,6,Merlin,2246
2017-07-05,16,18,25,27,29,57,4,7,Merlin,2247
2017-07-08,1,11,18,27,32,50,25,8,Merlin,2248
2017-07-12,7,14,19,38,40,45,18,3,Merlin,2249
2017-07-15,7,8,14,47,56,58,23,6,Merlin,2250
2017-07-19,2,6,14,16,25,36,42,5,Merlin,2251
2017-07-22,5,13,21,35,41,47,23,7,Arthur,2252
2017-07-26,5,10,29,35,55,56,30,5,Arthur,2253
2017-07-29,1,26,41,55,56,59,36,6,Arthur,2254
2017-08-02,4,6,24,35,45,52,8,7,Arthur,2255
2017-08-05,14,24,30,45,49,56,27,8,Merlin,2256
2017-08-09,5,9,25,34,51,59,44,5,Arthur,2257
2017-08-12,10,27,49,52,55,56,17,6,Merlin,2258
2017-08-16,7,17,28,43,44,45,54,8,Merlin,2259
2017-08-19,12,25,39,46,52,55,3,8,Merlin,2260
2017-08-23,8,16,21,41,44,56,45,7,Lancelot,2261
2017-08-26,20,25,34,41,42,52,58,6,Lancelot,2262
2017-08-30,34,42,46,57,58,59,38,8,Lancelot,2263
2017-09-02,30,33,35,40,41,59,8,7,Lancelot,2264
2017-09-06,16,30,34,50,52,53,46,5,Lancelot,2265
2017-09-09,4,7,13,49,56,58,6,6,Lancelot,2266
2017-09-13,4,11,14,21,29,56,27,7,Lancelot,2267
2017-09-16,1,6,31,37,49,50,38,8,Guinevere,2268
2017-09-20,8,20,25,50,51,58,45,5,Lancelot,2269
2017-09-23,17,18,26,39,54,56,57,5,Lancelot,2270
2017-09-27,30,35,45,47,52,55,40,8,Guinevere,2271
2017-09-30,13,18,21,30,50,54,20,7,Lancelot,2272
2017-10-04,12,20,32,38,48,54,5,6,Guinevere,2273
2017-10-07,15,20,30,37,47,51,21,8,Lancelot,2274
2017-10-11,17,38,49,54,55,56,13,7,Guinevere,2275
2017-10-14,6,22,40,43,47,58,42,5,Lancelot,2276
2017-10-18,11,12,15,22,27,44,7,8,Lancelot,2277
2017-10-21,3,31,37,41,44,59,32,7,Lancelot,2278
2017-10-25,1,3,11,37,49,58,21,6,Guinevere,2279
2017-10-28,8,15,33,42,55,58,53,5,Lancelot,2280
2017-11-01,13,14,18,19,21,36,53,8,Lancelot,2281
2017-11-04,6,20,23,29,35,53,57,6,Guinevere,2282
2017-11-08,2,17,25,32,42,49,4,5,Guinevere,2283
2017-11-11,4,16,27,30,41,49,54,7,Lancelot,2284
2017-11-15,2,11,22,36,51,59,7,1,Lancelot,2285
2017-11-18,1,20,24,36,54,58,11,2,Guinevere,2286
2017-11-22,2,16,17,27,36,37,42,3,Lancelot,2287
2017-11-25,4,7,29,45,54,56,8,1,Guinevere,2288
2017-11-29,20,32,42,43,53,58,8,4,Lancelot,2289
2017-12-02,4,9,13,32,46,50,52,2,Lancelot,2290
2017-12-06,3,19,24,31,50,52,16,6,Lancelot,2291
2017-12-09,2,32,37,39,46,54,19,4,Lancelot,2292
2017-12-13,6,14,23,24,43,58,40,3,Lancelot,2293
2017-12-16,22,25,35,45,46,57,14,3,Guinevere,2294
2017-12-20,10,20,28,38,41,46,16,1,Lancelot,2295
2017-12-23,20,32,36,44,47,56,41,2,Lancelot,2296
2017-12-27,18,36,48,57,58,59,50,4,Guinevere,2297
2017-12-30,33,37,42,47,55,58,34,3,Guinevere,2298
2018-01-03,11,19,20,30,35,49,44,1,Lancelot,2299
2018-01-06,18,28,31,32,44,51,50,4,Lancelot,2300
2018-01-10,6,11,27,29,40,55,45,2,Lancelot,2301
2018-01-13,6,7,9,18,35,46,5,1,Lancelot,2302
2018-01-17,30,33,37,43,55,56,46,4,Lancelot,2303
2018-01-20,2,10,19,28,29,31,47,3,Guinevere,2304
2018-01-24,1,22,39,44,48,59,5,1,Guinevere,2305
2018-01-27,29,33,43,45,49,56,16,4,Guinevere,2306
2018-01-31,5,19,21,42,44,57,18,3,Lancelot,2307
2018-02-03,8,26,27,29,49,58,38,2,Guinevere,2308
2018-02-07,5,19,29,34,40,45,57,2,Guinevere,2309
2018-02-10,3,12,15,29,51,58,13,1,Guinevere,2310
2018-02-14,2,8,33,46,48,50,5,3,Guinevere,2311
2018-02-17,5,8,9,10,38,53,56,4,Lancelot,2312
2018-02-21,14,25,29,30,35,53,38,4,Merlin,2313
2018-02-24,2,11,35,40,48,55,7,1,Merlin,2314
2018-02-28,9,10,27,30,33,45,29,2,Merlin,2315
2018-03-03,15,19,20,29,42,50,36,3,Arthur,2316
2018-03-07,8,10,22,37,55,57,29,4,Merlin,2317
2018-03-10,3,7,36,42,53,59,50,2,Arthur,2318
2018-03-14,7,19,38,45,47,53,15,3,Arthur,2319
2018-03-17,7,8,13,24,45,46,39,2,Arthur,2320
2018-03-21,2,35,44,51,54,55,45,4,Merlin,2321
2018-03-24,3,11,16,36,43,59,49,1,Arthur,2322
2018-03-28,2,6,7,15,52,54,45,3,Arthur,2323
2018-03-31,6,8,20,26,35,36,39,2,Merlin,2324
2018-04-04,1,9,15,26,38,43,14,5,Arthur,2325
2018-04-07,1,4,31,33,52,55,13,1,Merlin,2326
2018-04-11,21,25,32,52,56,59,28,6,Arthur,2327
2018-04-14,10,40,42,46,47,48,38,8,Arthur,2328
2018-04-18,4,11,21,39,41,59,58,7,Arthur,2329
2018-04-21,2,8,9,12,20,57,38,5,Arthur,2330
2018-04-25,5,14,18,40,41,50,12,7,Merlin,2331
2018-04-28,3,11,37,38,43,44,20,8,Arthur,2332
2018-05-02,4,8,10,26,38,48,41,5,Merlin,2333
2018-05-05,2,9,14,49,52,56,41,6,Merlin,2334
2018-05-09,18,21,25,30,56,59,5,6,Arthur,2335
2018-05-12,1,15,21,30,35,44,5,8,Arthur,2336
2018-05-16,4,22,26,32,48,54,57,7,Arthur,2337
2018-05-19,1,3,34,36,48,52,22,6,Arthur,2338
2018-05-23,1,15,17,32,36,45,5,8,Arthur,2339
2018-05-26,9,14,19,29,39,40,3,7,Arthur,2340
2018-05-30,4,5,8,26,32,39,16,5,Arthur,2341
2018-06-02,4,32,38,43,51,58,10,6,Arthur,2342
2018-06-06,12,22,31,35,42,58,55,5,Arthur,2343
2018-06-09,3,17,20,55,56,58,57,8,Arthur,2344
2018-06-13,5,15,22,33,38,45,11,6,Arthur,2345
2018-06-16,10,18,36,37,41,46,8,5,Merlin,2346
2018-06-20,15,22,26,35,41,43,1,8,Merlin,2347
2018-06-23,1,10,15,25,31,47,53,6,Merlin,2348
2018-06-27,4,41,45,54,57,58,26,5,Merlin,2349
2018-06-30,6,28,32,45,46,49,50,7,Merlin,2350
2018-07-04,8,13,22,46,52,58,7,7,Arthur,2351
2018-07-07,17,18,29,48,52,54,1,8,Merlin,2352
2018-07-11,8,11,17,25,33,46,13,7,Merlin,2353
2018-07-14,4,8,13,26,41,55,58,5,Merlin,2354
2018-07-18,22,34,44,49,51,53,33,8,Merlin,2355
2018-07-21,9,13,16,25,40,46,52,6,Arthur,2356
2018-07-25,5,19,20,23,30,43,6,7,Arthur,2357
2018-07-28,11,29,31,32,38,45,10,5,Arthur,2358
2018-08-01,15,17,18,34,46,54,4,8,Arthur,2359
2018-08-04,5,17,23,25,34,51,52,7,Arthur,2360
2018-08-08,8,19,20,27,31,34,7,5,Arthur,2361
2018-08-11,1,3,10,18,19,37,57,6,Arthur,2362
2018-08-15,3,28,34,41,48,58,54,7,Arthur,2363
2018-08-18,1,2,6,12,13,55,11,8,Merlin,2364
2018-08-22,15,20,21,25,34,47,36,6,Merlin,2365
2018-08-25,9,22,33,39,41,56,48,3,Arthur,2366
2018-08-29,19,23,30,50,51,54,55,1,Arthur,2367
2018-09-01,3,21,22,38,46,55,50,2,Arthur,2368
2018-09-05,12,18,22,23,48,59,47,4,Merlin,2369
2018-09-08,7,19,33,34,52,53,48,1,Merlin,2370
2018-09-12,11,12,13,14,54,56,36,3,Guinevere,2371
2018-09-15,25,42,48,50,55,58,44,2,Lancelot,2372
2018-09-19,7,20,25,26,34,40,59,1,Lancelot,2373
2018-09-22,5,16,18,20,25,55,36,4,Lancelot,2374
2018-09-26,3,8,37,39,47,59,42,3,Lancelot,2375
2018-09-29,17,36,40,44,54,58,27,4,Guinevere,2376
2018-10-03,3,5,11,25,27,45,18,2,Lancelot,2377
2018-10-06,23,26,30,32,37,39,5,3,Lancelot,2378
2018-10-10,10,49,50,53,54,56,4,4,Lancelot,2379
2018-10-13,19,26,40,52,56,58,38,1,Guinevere,2380
2018-10-17,1,5,6,20,51,54,56,3,Guinevere,2381
2018-10-20,12,18,40,42,46,59,49,4,Lancelot,2382
2018-10-24,9,22,32,40,51,59,17,2,Lancelot,2383
2018-10-27,1,6,25,26,31,39,56,1,Guinevere,2384
2018-10-31,5,14,20,24,28,45,21,3,Lancelot,2385
2018-11-03,16,31,41,45,47,52,53,2,Guinevere,2386
2018-11-07,4,5,9,40,46,59,58,1,Guinevere,2387
2018-11-10,7,12,17,38,42,44,53,2,Lancelot,2388
2018-11-14,4,11,20,45,48,53,16,4,Lancelot,2389
2018-11-17,4,5,9,12,17,42,32,3,Lancelot,2390
2018-11-21,24,31,35,42,46,53,9,1,Guinevere,2391
2018-11-24,15,27,30,32,42,43,10,4,Lancelot,2392
2018-11-28,36,39,45,46,48,52,38,3,Guinevere,2393
2018-12-01,5,8,9,12,31,49,57,1,Guinevere,2394
2018-12-05,1,6,13,23,45,56,41,2,Lancelot,2395
2018-12-08,6,23,36,38,43,48,17,2,Lancelot,2396
2018-12-12,3,22,31,46,51,59,53,3,Lancelot,2397
2018-12-15,5,26,34,35,43,49,19,4,Guinevere,2398
2018-12-19,12,24,33,34,39,56,38,1,Guinevere,2399
2018-12-22,4,15,17,24,32,56,31,4,Lancelot,2400
2018-12-26,7,14,35,45,54,58,1,2,Guinevere,2401
2018-12-29,26,31,38,40,45,57,28,3,Lancelot,2402
2019-01-02,8,9,10,35,40,53,21,1,Lancelot,2403
2019-01-05,18,25,27,28,32,47,6,4,Guinevere,2404
2019-01-09,3,17,36,42,51,57,18,5,Lancelot,2405
2019-01-12,13,29,32,43,49,55,26,2,Guinevere,2406
2019-01-16,1,12,44,48,54,55,8,7,Guinevere,2407
2019-01-19,11,15,17,22,31,52,45,8,Guinevere,2408
2019-01-23,5,27,30,41,45,58,38,5,Guinevere,2409
2019-01-26,29,40,42,47,51,56,45,7,Lancelot,2410
2019-01-30,7,22,31,43,47,58,2,8,Guinevere,2411
2019-02-02,1,6,41,53,55,59,20,6,Lancelot,2412
2019-02-06,3,16,24,41,44,53,15,6,Guinevere,2413
2019-02-09,25,27,31,36,38,47,12,7,Lancelot,2414
2019-02-13,4,8,26,31,42,45,55,6,Lancelot,2415
2019-02-16,11,15,18,43,46,51,12,5,Lancelot,2416
2019-02-20,3,11,17,33,41,51,48,6,Lancelot,2417
2019-02-23,6,9,38,40,42,48,57,8,Lancelot,2418
2019-02-27,19,20,22,31,51,54,16,5,Guinevere,2419
2019-03-02,4,8,16,19,33,45,54,7,Lancelot,2420
2019-03-06,2,12,15,43,46,53,17,6,Lancelot,2421
2019-03-09,22,27,35,40,46,52,2,7,Guinevere,2422
2019-03-13,1,11,29,40,46,48,17,5,Guinevere,2423
2019-03-16,6,26,32,37,42,59,38,8,Lancelot,2424
2019-03-20,2,19,35,53,56,58,12,7,Guinevere,2425
2019-03-23,6,26,30,50,52,59,27,5,Lancelot,2426
2019-03-27,13,18,25,35,39,50,21,8,Lancelot,2427
2019-03-30,3,27,35,45,54,55,24,7,Lancelot,2428
2019-04-03,5,9,17,26,35,52,44,6,Guinevere,2429
2019-04-06,5,8,22,33,36,43,21,8,Guinevere,2430
2019-04-10,20,22,36,42,48,49,30,6,Guinevere,2431
2019-04-13,4,10,15,24,37,38,30,6,Lancelot,2432
2019-04-17,8,23,28,42,43,51,52,7,Guinevere,2433
2019-04-20,7,8,11,17,34,54,4,8,Lancelot,2434
2019-04-24,22,29,35,41,43,51,42,6,Guinevere,2435
2019-04-27,1,7,26,34,52,53,10,7,Guinevere,2436
2019-05-01,10,12,23,29,35,57,9,5,Guinevere,2437
2019-05-04,16,17,35,39,40,55,41,5,Guinevere,2438
2019-05-08,16,19,31,35,45,56,59,8,Lancelot,2439
2019-05-11,13,14,19,45,49,55,24,6,Guinevere,2440
2019-05-15,8,11,18,39,44,50,23,5,Guinevere,2441
2019-05-18,7,22,23,26,31,54,3,7,Lancelot,2442
2019-05-22,7,27,31,36,37,50,18,8,Guinevere,2443
2019-05-25,5,9,26,35,43,54,24,6,Lancelot,2444
2019-05-29,3,15,27,32,46,53,57,1,Guinevere,2445
2019-06-01,8,26,36,39,40,47,42,5,Guinevere,2446
2019-06-05,11,20,23,32,33,56,25,1,Guinevere,2447
2019-06-08,12,13,22,37,42,55,43,1,Guinevere,2448
2019-06-12,6,16,34,36,37,53,50,2,Guinevere,2449
2019-06-15,7,40,42,47,52,54,29,2,Guinevere,2450
2019-06-19,22,26,31,39,47,55,35,3,Merlin,2451
2019-06-22,6,9,17,32,44,57,11,3,Merlin,2452
2019-06-26,5,7,9,24,32,44,38,4,Merlin,2453
2019-06-29,11,32,43,44,47,52,27,4,Merlin,2454
2019-07-03,10,20,27,29,38,52,57,1,Arthur,2455
2019-07-06,24,30,44,50,56,57,9,1,Arthur,2456
2019-07-10,4,10,11,17,53,54,6,2,Arthur,2457
2019-07-13,18,25,29,32,35,58,12,2,Arthur,2458
2019-07-17,5,8,40,41,43,45,23,3,Merlin,2459
2019-07-20,14,18,23,28,36,37,32,3,Merlin,2460
2019-07-24,2,4,17,28,37,45,22,4,Merlin,2461
2019-07-27,14,19,30,45,48,58,3,4,Merlin,2462
2019-07-31,9,18,20,42,43,46,30,1,Arthur,2463
2019-08-03,8,30,34,44,45,57,31,1,Arthur,2464
2019-08-07,7,11,36,44,52,58,31,2,Arthur,2465
2019-08-10,5,8,9,17,23,29,49,2,Arthur,2466
2019-08-14,14,16,24,28,30,53,23,3,Merlin,2467
2019-08-17,6,9,10,41,46,58,45,3,Merlin,2468
2019-08-21,11,14,26,51,53,58,30,4,Merlin,2469
2019-08-24,27,36,39,45,46,55,38,4,Merlin,2470
2019-08-28,1,40,41,49,52,57,43,5,Arthur,2471
2019-08-31,5,10,16,26,41,58,15,5,Arthur,2472
2019-09-04,11,13,32,40,45,49,39,6,Arthur,2473
2019-09-07,3,13,27,30,32,37,8,6,Arthur,2474
2019-09-11,4,9,26,35,38,53,30,7,Merlin,2475
2019-09-14,6,10,14,19,26,43,28,7,Merlin,2476
2019-09-18,1,25,28,34,39,57,50,8,Merlin,2477
2019-09-21,18,23,32,33,34,41,54,8,Merlin,2478
2019-09-25,3,4,16,39,43,52,47,5,Arthur,2479
2019-09-28,2,19,21,23,29,42,26,5,Arthur,2480
2019-10-02,13,15,20,37,42,47,49,6,Arthur,2481
2019-10-05,4,8,12,13,32,34,58,6,Arthur,2482
2019-10-09,14,22,40,44,55,58,12,7,Merlin,2483
2019-10-12,23,27,30,36,40,42,58,7,Merlin,2484
2019-10-16,4,5,18,29,40,47,57,8,Merlin,2485
2019-10-19,8,15,17,31,33,52,13,8,Merlin,2486
2019-10-23,5,29,30,39,53,58,19,5,Arthur,2487
2019-10-26,16,23,26,38,56,59,32,5,Arthur,2488
2019-10-30,2,8,19,41,51,56,23,6,Arthur,2489
2019-11-02,13,16,28,34,41,56,40,6,Arthur,2490
2019-11-06,17,22,25,27,32,35,5,7,Merlin,2491
2019-11-09,2,11,16,46,51,58,31,7,Merlin,2492
2019-11-13,1,2,7,9,44,55,39,8,Merlin,2493
2019-11-16,2,10,25,51,56,59,17,8,Merlin,2494
2019-11-20,8,17,31,47,49,52,12,9,Arthur,2495
2019-11-23,23,25,28,38,47,58,31,9,Arthur,2496
2019-11-27,7,16,22,39,48,55,50,10,Arthur,2497
2019-11-30,8,16,24,36,40,57,51,10,Arthur,2498
2019-12-04,9,13,21,25,28,31,1,11,Merlin,2499
2019-12-07,6,20,27,34,35,57,39,11,Merlin,2500
2019-12-11,7,14,16,33,35,47,25,9,Guinevere,2501
2019-12-14,2,21,23,32,44,49,56,9,Guinevere,2502
2019-12-18,13,15,36,44,50,56,45,10,Guinevere,2503
2019-12-21,12,27,33,36,42,45,26,10,Guinevere,2504
2019-12-25,5,10,11,45,54,58,40,11,Lancelot,2505
2019-12-28,1,2,12,23,41,55,9,11,Lancelot,2506
